img_link,book_name,author,rating,by_users,temp
https://m.media-amazon.com/images/I/81nd+YP04xL._AC_UY218_ML3_.jpg,The Most Important Thing: Uncommon Sense for The Thoughtful Investor,"Howard Marks,John FitzGibbon, et al.",4.5 out of 5 stars,321,"Audible Audiobook,$0.00,Hardcover,$16.99"
https://m.media-amazon.com/images/I/61ZE7Jge2DL._AC_UY218_ML3_.jpg,Nolo’s Guide to Single-Member LLCs: How to Form & Run Your Single-Member Limited Liability Company,"David M. Steingold Attorney|Oct 29, 2019|Oct 29, 2019",4.4 out of 5 stars,81,"Paperback,$11.99"
https://m.media-amazon.com/images/I/41BhrViDXUL._AC_UY218_ML3_.jpg,Simply Said: Communicating Better at Work and Beyond,"Jay Sullivan|Oct 31, 2016|Oct 31, 2016",4.7 out of 5 stars,101,"Paperback,$0.00,Audible Audiobook,$9.99"
https://m.media-amazon.com/images/I/91226J51nmL._AC_UY218_ML3_.jpg,"Losing My Virginity: How I Survived, Had Fun, and Made a Fortune Doing Business My Way","Richard Branson|Jun 7, 2011|Jun 7, 2011",4.5 out of 5 stars,"1,166","Paperback,$12.99"
https://m.media-amazon.com/images/I/51yRBVgdRNL._AC_UY218_ML3_.jpg,La transformación total de su dinero: Un plan efectivo para alcanzar bienestar económico (Spanish Edition),"Dave Ramsey|Jul 1, 2008|Jul 1, 2008",4.8 out of 5 stars,382,"Paperback,$0.00,Audible Audiobook,$8.99"
https://m.media-amazon.com/images/I/714jbXeg6qL._AC_UY218_ML3_.jpg,Trade Is Not a Four-Letter Word: How Six Everyday Products Make the Case for Trade,"Fred P. Hochberg|Jan 14, 2020|Jan 14, 2020",4.1 out of 5 stars,15,"Hardcover,$14.99,Kindle,$0.00"
https://m.media-amazon.com/images/I/81-Tf02DMQL._AC_UY218_ML3_.jpg,The High Performance Planner [Red],"Brendon Burchard|Nov 2, 2018|Nov 2, 2018",4.2 out of 5 stars,116,
https://m.media-amazon.com/images/I/715sYCFqYWL._AC_UY218_ML3_.jpg,The 5 Years Before You Retire: Retirement Planning When You Need It the Most,"Emily Guy Birken|Jan 1, 2014|Jan 1, 2014",4.3 out of 5 stars,210,"Paperback,$0.00,Audible Audiobook,$0.00"
https://m.media-amazon.com/images/I/41X5JHUpRBL._AC_UY218_ML3_.jpg,The Five Temptations of a CEO: A Leadership Fable,Patrick LencioniandSimon & Schuster Audio,4.6 out of 5 stars,249,"Audible Audiobook,$0.00,Hardcover,$14.53"
https://m.media-amazon.com/images/I/81UKw++F+vL._AC_UY218_ML3_.jpg,The Fatal Conceit: The Errors of Socialism (Volume 1) (The Collected Works of F. A. Hayek),"F. A. HayekandW. W. Bartley, III|Mar 30, 2018|Mar 30, 2018",4.6 out of 5 stars,153,"Paperback,$0.00,Audible Audiobook,$6.19"
