Title,Url,Rating,Subject,Global_URL
Understanding IELTS: Reading,https://www.classcentral.com/course/understanding-ielts-reading-17038,4.8813559322034,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Understanding IELTS: Speaking,https://www.classcentral.com/course/understanding-ielts-speaking-17037,4.8888888888889,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
The IB Extended Essay: Managing your Research Project,https://www.classcentral.com/course/ib-extended-essay-12702,4.6511627906977,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Migrants and Refugees in Education: A toolkit for teachers,https://www.classcentral.com/course/migrants-and-refugees-in-education-11825,4.8076923076923,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
"Education for All: Disability, Diversity and Inclusion ",https://www.classcentral.com/course/education-for-all-5664,4.7380952380952,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Modelli di insegnamento nella ricerca educativa,https://www.classcentral.com/course/edx-modelli-di-insegnamento-nella-ricerca-educativa-11405,5,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Aprendizaje y Enseñanza Virtual,https://www.classcentral.com/course/edx-aprendizaje-y-ensenanza-virtual-7266,4.2941176470588,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Learning Online: Researching Your Project,https://www.classcentral.com/course/searching-and-researching-5019,4,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Teaching Character and Creating Positive Classrooms ,https://www.classcentral.com/course/teaching-character-866,4.5,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Leaders of Learning,https://www.classcentral.com/course/edx-leaders-of-learning-2027,4.4,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Applying to U.S. Universities,https://www.classcentral.com/course/usuniversities-1620,3.8,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
"American Education Reform: History, Policy, Practice",https://www.classcentral.com/course/edref-2793,4.5555555555556,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Learning Online: Communicating and Collaborating,https://www.classcentral.com/course/learning-and-collaborating-5015,4.1111111111111,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Introducción a las tecnologías para la Educación,https://www.classcentral.com/course/edx-introduccion-a-las-tecnologias-para-la-educacion-2956,4.5,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
IT Fundamentals for Business Professionals: Enterprise Systems,https://www.classcentral.com/course/edx-it-fundamentals-for-business-professionals-enterprise-systems-3787,4.1666666666667,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
IT Fundamentals for Business Professionals: Software development,https://www.classcentral.com/course/edx-it-fundamentals-for-business-professionals-software-development-3788,4.9,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Fundamentos TIC para profesionales de negocios: Programación,https://www.classcentral.com/course/edx-fundamentos-tic-para-profesionales-de-negocios-programacion-9131,4.7,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
IT Fundamentals for Business Professionals: Programming,https://www.classcentral.com/course/edx-it-fundamentals-for-business-professionals-programming-3785,4.7777777777778,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Academic Information Seeking,https://www.classcentral.com/course/academicinfoseek-5153,4.4285714285714,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
K-12 Blended & Online Learning,https://www.classcentral.com/course/k-12-online-education-1531,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Introduction,https://www.classcentral.com/course/teaching-874,2,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Being a Teacher,https://www.classcentral.com/course/being-a-teacher-875,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Learners and Learning,https://www.classcentral.com/course/teaching-learning-876,4.75,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Curriculum,https://www.classcentral.com/course/teacher-curriculum-877,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Planning for Teaching and Learning,https://www.classcentral.com/course/teaching-plan-882,2.5,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Introduction to Student Assessment,https://www.classcentral.com/course/learning-assessment-883,4,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
The Place of Music in 21st Century Education,https://www.classcentral.com/course/music-education-5950,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
El desafío de Innovar en la Educación Superior,https://www.classcentral.com/course/educacion-superior-5911,5,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Aprenda a ensinar programação com o Programaê!,https://www.classcentral.com/course/programae-4470,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Fundamentos do Google para o Ensino,https://www.classcentral.com/course/fundamentosgoogle-4476,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Explorando os recursos educacionais da Khan Academy,https://www.classcentral.com/course/khanacademy-4479,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Ensino Híbrido: Personalização e Tecnologia na Educação,https://www.classcentral.com/course/ensino-hibrido-4435,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Instructional Methods in Health Professions Education,https://www.classcentral.com/course/instructmethodshpe-949,4.5,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Compassionate Leadership Through Service Learning with Jane Goodall and Roots & Shoots,https://www.classcentral.com/course/compassionate-leadership-jane-goodall-2101,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Get Organized: How to be a Together Teacher,https://www.classcentral.com/course/togetherteacher-2113,4.3333333333333,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Powerful Tools for Teaching and Learning: Web 2.0 Tools,https://www.classcentral.com/course/newtechtools-3140,4,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Virtual Instruction ,https://www.classcentral.com/course/virtual-instruction-860,3,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Art & Inquiry: Museum Teaching Strategies For Your Classroom,https://www.classcentral.com/course/artinquiry-865,3,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Being a Professional,https://www.classcentral.com/course/professional-teacher-884,4,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
Foundations of Teaching for Learning: Developing Relationships,https://www.classcentral.com/course/teacher-relationships-885,0,Education & Teaching Courses,https://www.classcentral.com/subject/education?page=1
