Title,Url,Rating,Subject
Learning How to Learn: Powerful mental tools to help you master tough subjects,https://www.classcentral.com/course/learning-how-to-learn-2161,4.886446126724,Personal Development Courses
Mindshift: Break Through Obstacles to Learning and Discover Your Hidden Potential,https://www.classcentral.com/course/mindshift-8289,4.8197226502311,Personal Development Courses
The Future of Work: Preparing for Disruption,https://www.classcentral.com/course/edx-the-future-of-work-preparing-for-disruption-13702,4.7325102880658,Personal Development Courses
How to Succeed at: Interviews,https://www.classcentral.com/course/interviews-2253,4.8670886075949,Personal Development Courses
Learning How To Learn for Youth,https://www.classcentral.com/course/learning-how-to-learn-youth-12569,4.8571428571429,Personal Development Courses
Presentation skills: Speechwriting and Storytelling,https://www.classcentral.com/course/speechwriting-9646,4.8095238095238,Personal Development Courses
Aprender,https://www.classcentral.com/course/aprendo-4631,4.9150943396226,Personal Development Courses
Critical Thinking at University: An Introduction,https://www.classcentral.com/course/critical-thinking-at-university-12273,4.7758620689655,Personal Development Courses
Umano Digitale,https://www.classcentral.com/course/independent-umano-digitale-13499,4.9111111111111,Personal Development Courses
"Work Smarter, Not Harder: Time Management for Personal & Professional Productivity",https://www.classcentral.com/course/worksmarter-2727,3.65,Personal Development Courses
Presentation skills:  Effective Presentation Delivery,https://www.classcentral.com/course/delivery-9645,4.8666666666667,Personal Development Courses
 Know Thyself - The Value and Limits of Self-Knowledge: The Examined Life,https://www.classcentral.com/course/know-thyself-the-examined-life-432,4.7142857142857,Personal Development Courses
Psychology of Personal Growth,https://www.classcentral.com/course/edx-psychology-of-personal-growth-8857,4.5,Personal Development Courses
Inspiring Leadership through Emotional Intelligence,https://www.classcentral.com/course/lead-ei-710,4.304347826087,Personal Development Courses
Buscar en Internet,https://www.classcentral.com/course/edx-buscar-en-internet-2971,4.6470588235294,Personal Development Courses
Diseño de Estrategias Exitosas y Acciones Incontenibles,https://www.classcentral.com/course/edx-diseno-de-estrategias-exitosas-y-acciones-incontenibles-4934,4.8571428571429,Personal Development Courses
Creative Writing: The Craft of Plot,https://www.classcentral.com/course/craft-of-plot-5625,3.6666666666667,Personal Development Courses
Successful Negotiation: Essential Strategies and Skills,https://www.classcentral.com/course/successfulnegotiation-2460,4.6428571428571,Personal Development Courses
Happier Employees and Return-On-Investment Course,https://www.classcentral.com/course/edx-happier-employees-and-return-on-investment-course-17121,4.8333333333333,Personal Development Courses
Effective Problem-Solving and Decision-Making,https://www.classcentral.com/course/probsolve-2721,3.7272727272727,Personal Development Courses
Presentation skills: Public Speaking Project,https://www.classcentral.com/course/public-speaking-project-9644,4.7333333333333,Personal Development Courses
Negoziazione e comunicazione efficace,https://www.classcentral.com/course/edx-negoziazione-e-comunicazione-efficace-9244,4.3846153846154,Personal Development Courses
Introduction to Public Speaking,https://www.classcentral.com/course/public-speaking-889,4.375,Personal Development Courses
High-Impact Business Writing,https://www.classcentral.com/course/businesswriting-2724,3,Personal Development Courses
Story and Narrative Development for Video Games,https://www.classcentral.com/course/video-game-story-4257,5,Personal Development Courses
Creative Writing: The Craft of Style,https://www.classcentral.com/course/craft-of-style-5621,3.75,Personal Development Courses
Introduction to Negotiation: A Strategic Playbook for Becoming a Principled and Persuasive Negotiator,https://www.classcentral.com/course/negotiation-4336,4.75,Personal Development Courses
Logical and Critical Thinking,https://www.classcentral.com/course/logical-and-critical-thinking-3715,4.7272727272727,Personal Development Courses
Creative Problem Solving,https://www.classcentral.com/course/cps-1636,2.6,Personal Development Courses
Influencing People,https://www.classcentral.com/course/influencing-people-4243,3.5,Personal Development Courses
Writing Winning Resumes and Cover Letters,https://www.classcentral.com/course/winning-resumes-5477,5,Personal Development Courses
Career Brand Development and Self-Coaching,https://www.classcentral.com/course/career-brand-development-self-coaching-5482,4,Personal Development Courses
Becoming Part of the Globalised Workplace,https://www.classcentral.com/course/becoming-part-of-the-globalised-workplac-5569,2,Personal Development Courses
Strategic Career Self-Management,https://www.classcentral.com/course/strategic-career-self-management-5457,2,Personal Development Courses
